ctrlKey, altKey, shiftKey

keydown 37 ArrowLeft
keydown 39 ArrowRight
keydown 38 ArrowUp
keydown 40 ArrowDown
keydown 46 Delete
keydown 36 Home
keydown 35 End
keydown 33 PageUp
keydown 34 PageDown
keydown 32 ' '
keydown 13 Enter
keydown 16 Shift
keydown 17 Control
keydown 18 Alt
keydown 65 a
keydown 66 b
keydown 67 c
keydown 68 d
keydown 69 e
keydown 70 f
keydown 71 g
keydown 72 h
keydown 73 i
keydown 74 j
keydown 75 k
keydown 76 l
keydown 77 m
keydown 78 n
keydown 79 o
keydown 80 p
keydown 81 q
keydown 82 r
keydown 83 s
keydown 84 t
keydown 85 u
keydown 86 v
keydown 87 w
keydown 88 x
keydown 89 y
keydown 90 z
keydown 192 `
keydown 49 1
keydown 50 2
keydown 51 3
keydown 52 4
keydown 53 5
keydown 54 6
keydown 55 7
keydown 56 8
keydown 57 9
keydown 48 0
keydown 189 -
keydown 187 =
keydown 8 Backspace
keydown 112 F1
keydown 113 F2
keydown 114 F3
keydown 115 F4
keydown 116 F5
keydown 117 F6
keydown 118 F7
keydown 119 F8
keydown 120 F9
